0
GC
jim,bob,guest
0,2021-05-02T01:47:01.445861400,jim,hi
3,2021-05-02T01:53:03.948293900,jim,hi bob and guest
4,2021-05-02T18:24:21.509637,bob,hey jim
5,2021-05-02T18:24:39.744870400,bob,watcha doing?
9,2021-05-02T22:22:53.045655800,jim,heyk
10,2021-05-02T22:23:02.390869500,jim,whats up!
11,2021-05-02T22:23:05.052154600,jim,nm wow
12,2021-05-02T22:23:09.255010700,jim,hbu????
13,2021-05-02T22:46:43.690310800,bob,lol
13,2021-05-02T22:51:06.862084,guest,wack
14,2021-05-02T22:51:19.395842900,guest,interesting (not)
15,2021-05-02T22:56:03.792502,jim,silly hey hu
16,2021-05-02T23:05:31.770362500,jim,okkk
17,2021-05-02T23:06:23.218283800,jim,test
18,2021-05-02T23:06:25.641248900,jim,test
